PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-06-19,18:34:38.32,1,1,"Beede, Tyler",595881,Right,LI,"Amaral, Daniel",663610,Right,LAN,Undefined,1,Top,0,0,0,Undefined,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.95351,-0.870033,-3.231361,2207.296542,241.228008,2:00,5.83131,1.90405,6.37942,-22.69446,11.14894,18.27296,3.12316,0.39444,83.70827,-5.084021,0.01259,0.418705,69.83576,69.7465,67.499205,4200.560925,,,,,34.12192,,,-10.11973,6.17595,-1.62809,50,5.73754,6.67928,-133.27887,-2.85877,-18.14948,29.42719,-21.09768,LI,LAN,CenterIslip,Independent,ATL,20250619-CenterIslip-1,96250070-4d5d-11f0-9c43-1b18c11ab0c1,90.02141,96.74704,,8.24524,,,,,,,d3aa6cb9-7917-4189-aed1-6e012dfca233,2025-06-19,22:34:38.32,2025-06-19T18:34:38.3278080-04:00,2025-06-19T22:34:38.3278080Z,,v3,1896,1889,,"Baldwin, Roldani",650380,Right,LI,7dde5da2-7f27-4d17-ba1a-12b85f9f9f5d,55.11944,-134.40446,14.71359,5.83146,-2.05179,-10.54884,-1.89685,7.37349,-9.07474,,1.36704,13.56932,-10.90954,4.1387,-1.14287,0.27867,-0.05795,0.00778,-0.00039,6.76463,96.09269,-26.53116,2.87834,-0.39752,0.01633,0.01432,-0.00717,0.00128,-1.08263,32.75794,-8.89731,2.70877,-0.64755,0.13904,-0.02314,0.00122,0.00026,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,
2,2025-06-19,18:35:13.89,1,2,"Beede, Tyler",595881,Right,LI,"Amaral, Daniel",663610,Right,LAN,Undefined,1,Top,0,0,1,Undefined,Sinker,InPlay,Undefined,LineDrive,Out,1,0,,91.41176,-1.426737,-2.927599,2230.075292,234.809863,1:45,5.8707,1.91878,6.4678,-21.3958,13.10516,16.80458,2.75045,0.57691,82.39144,-5.438602,0.061779,0.422753,86.78674,24.594991,-2.379136,2406.662726,109.99856,41.28,0.51607,293.65295,285.42047,3.903064,3.634267,-9.39335,7.41485,-1.67299,50,5.73084,5.99285,-132.34912,-4.04449,-16.42481,31.98763,-19.20877,LI,LAN,CenterIslip,Independent,ATL,20250619-CenterIslip-1,ab58b4a0-4d5d-11f0-9c43-1b18c11ab0c1,89.15943,46.67215,,9.02033,,,,1.22254,2.74605,-0.56504,d3aa6cb9-7917-4189-aed1-6e012dfca233,2025-06-19,22:35:13.89,2025-06-19T18:35:13.8944512-04:00,2025-06-19T22:35:13.8944512Z,LineDrive,v3,1896,1889,,"Baldwin, Roldani",650380,Right,LI,6e787168-229e-4bc0-8e1a-d95a9e502da9,55.02894,-133.55904,15.99382,5.87008,-3.31793,-9.60439,-1.91142,6.61411,-8.21241,218.97369,1.22227,115.64803,-19.74563,5.15823,-1.2778,0.34253,-0.08622,0.01439,-0.00103,2.74678,52.95367,-16.72476,0.01094,0.61021,-0.34512,0.10898,-0.01761,0.00112,-0.56506,-4.80406,7.48438,-2.66884,0.75004,-0.18441,0.0389,-0.00576,0.00039,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2025-06-19,18:35:54.00,2,1,"Beede, Tyler",595881,Right,LI,"Ward, Nick",682187,Left,LAN,Undefined,1,Top,1,0,0,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.66247,-1.610251,-3.28633,2265.4148,234.676541,1:45,5.8957,1.97455,6.38965,-20.64285,12.30698,15.6882,2.66339,0.19844,84.4873,-5.470748,-0.501071,0.413141,,,,,,,,,,,,-8.83815,7.02268,-1.69191,50,5.7375,7.01866,-135.52523,-4.56339,-16.23639,33.00479,-19.27285,LI,LAN,CenterIslip,Independent,ATL,20250619-CenterIslip-1,c345bc70-4d5d-11f0-9c43-1b18c11ab0c1,91.23391,,,9.17517,,,,,,,d3aa6cb9-7917-4189-aed1-6e012dfca233,2025-06-19,22:35:54.00,2025-06-19T18:35:54.0094464-04:00,2025-06-19T22:35:54.0094464Z,,v3,1896,1889,,"Baldwin, Roldani",650380,Right,LI,dc0829b6-5d0f-4d15-a3e2-c911c3500b12,55.10571,-136.76298,16.5024,5.89508,-3.84062,-9.63643,-1.96655,7.62756,-8.1182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-06-19,18:36:14.65,2,2,"Beede, Tyler",595881,Right,LI,"Ward, Nick",682187,Left,LAN,Undefined,1,Top,1,0,1,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.87973,1.187171,0.240081,2072.092156,48.200671,7:30,5.72362,1.95111,6.27969,-61.58381,-11.82497,-15.423,1.70675,0.89133,69.0016,-10.016725,-2.505104,0.507699,,,,,,,,,,,,7.68981,-5.5917,-1.96171,50,5.78786,0.17075,-111.30303,0.1252,9.34674,25.75784,-38.97058,LI,LAN,CenterIslip,Independent,ATL,20250619-CenterIslip-1,cf83bd20-4d5d-11f0-9c43-1b18c11ab0c1,74.24168,,,7.87813,,,,,,,d3aa6cb9-7917-4189-aed1-6e012dfca233,2025-06-19,22:36:14.65,2025-06-19T18:36:14.6515456-04:00,2025-06-19T22:36:14.6515456Z,,v3,1896,1889,,"Baldwin, Roldani",650380,Right,LI,3f0d952a-946a-43d2-b9c0-5e9b61f40dd3,55.21723,-112.50392,12.87892,5.73967,1.94211,-19.48529,-1.95951,-0.26502,4.67337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-06-19,18:36:31.78,2,3,"Beede, Tyler",595881,Right,LI,"Ward, Nick",682187,Left,LAN,Undefined,1,Top,1,1,1,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.22017,-0.987525,-1.926238,1814.158488,264.598028,2:45,5.66889,2.02173,6.91485,-38.83612,2.99244,15.9693,1.51544,1.56414,74.63691,-8.171528,0.945848,0.465488,,,,,,,,,,,,-8.71343,2.34445,-1.87593,50,5.56816,3.36843,-119.24732,-3.32729,-12.37193,25.91014,-28.84522,LI,LAN,CenterIslip,Independent,ATL,20250619-CenterIslip-1,d9ca81b0-4d5d-11f0-9c43-1b18c11ab0c1,80.97412,,,7.58327,,,,,,,d3aa6cb9-7917-4189-aed1-6e012dfca233,2025-06-19,22:36:31.78,2025-06-19T18:36:31.7848064-04:00,2025-06-19T22:36:31.7848064Z,,v3,1896,1889,,"Baldwin, Roldani",650380,Right,LI,ff5a3ffb-2987-4a79-9db7-3d965cdd3b32,54.58143,-120.23866,12.95507,5.67435,-2.22365,-14.42261,-2.01387,3.84178,-6.18596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-06-19,18:36:50.91,2,4,"Beede, Tyler",595881,Right,LI,"Ward, Nick",682187,Left,LAN,Undefined,1,Top,1,2,1,Undefined,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,93.3233,-1.491964,-3.290784,2149.176469,231.304102,1:45,5.76758,1.9275,6.47017,-21.28167,11.94371,13.36351,2.59526,-0.0419,83.85823,-5.480525,-0.914997,0.414865,77.65977,-0.100693,5.843986,1296.588469,,,,43.0568,41.8476,4.71825,0.383617,-7.82996,6.85906,-1.64746,50,5.62209,7.13735,-135.02054,-4.28297,-14.20213,34.18401,-19.73299,LI,LAN,CenterIslip,Independent,ATL,20250619-CenterIslip-1,e5230460-4d5d-11f0-9c43-1b18c11ab0c1,90.85481,2.63067,,9.46506,,,,1.35648,2.63067,0.04907,d3aa6cb9-7917-4189-aed1-6e012dfca233,2025-06-19,22:36:50.91,2025-06-19T18:36:50.9159936-04:00,2025-06-19T22:36:50.9159936Z,GroundBall,v3,1896,1889,,"Baldwin, Roldani",650380,Right,LI,8a16ef12-9516-4ef7-9db9-9e820e0a6f67,55.02634,-136.28715,17.092,5.76724,-3.55181,-9.8665,-1.92166,7.66358,-7.10107,70.95222,1.36054,113.16715,-12.68233,,,,,,,2.63475,-0.34194,-17.03996,,,,,,,0.05255,11.47617,-6.22874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2025-06-19,18:37:41.02,3,1,"Beede, Tyler",595881,Right,LI,"Martin, Mason",676733,Left,LAN,Undefined,1,Top,2,0,0,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.67475,0.345283,-1.44341,1782.33272,261.344694,2:45,5.68064,2.01186,6.87864,-37.51943,3.85154,15.76473,2.8748,1.9848,74.87716,-6.617949,1.387584,0.462934,,,,,,,,,,,,-8.45485,2.32811,-1.90406,50,5.68727,2.38428,-119.95079,-0.50793,-12.15473,26.0776,-28.82714,LI,LAN,CenterIslip,Independent,ATL,20250619-CenterIslip-1,031640e0-4d5e-11f0-9c43-1b18c11ab0c1,81.42073,,,7.79759,,,,,,,d3aa6cb9-7917-4189-aed1-6e012dfca233,2025-06-19,22:37:41.02,2025-06-19T18:37:41.0288128-04:00,2025-06-19T22:37:41.0288128Z,,v3,1896,1889,,"Baldwin, Roldani",650380,Right,LI,966df38b-0f18-4cb4-b7e5-557232d5f011,54.61782,-120.95055,13.0388,5.68556,0.59724,-14.41357,-2.0044,2.85027,-6.07737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-06-19,18:37:57.81,3,2,"Beede, Tyler",595881,Right,LI,"Martin, Mason",676733,Left,LAN,Undefined,1,Top,2,1,0,Undefined,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,77.52017,0.699978,-2.144721,2132.041626,52.502763,7:45,5.6063,1.94384,6.49085,-58.72409,-10.37481,-15.86694,1.36793,-1.38567,70.10811,-9.988307,-4.973837,0.500457,,,,,,,,,,,,7.24307,-4.97075,-1.74498,50,5.62809,4.8237,-112.29826,-0.61769,9.00299,25.38204,-38.35259,LI,LAN,CenterIslip,Independent,ATL,20250619-CenterIslip-1,0d1945b0-4d5e-11f0-9c43-1b18c11ab0c1,75.3161,,,7.41206,,,,,,,d3aa6cb9-7917-4189-aed1-6e012dfca233,2025-06-19,22:37:57.81,2025-06-19T18:37:57.8191872-04:00,2025-06-19T22:37:57.8191872Z,,v3,1896,1889,,"Baldwin, Roldani",650380,Right,LI,64f6b4ae-3e85-49d2-9e2a-40e106ea25b2,55.00846,-113.42464,12.69102,5.61774,1.08429,-19.17629,-1.95018,4.42418,4.5015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-06-19,18:38:17.53,3,3,"Beede, Tyler",595881,Right,LI,"Martin, Mason",676733,Left,LAN,Undefined,1,Top,2,1,1,Undefined,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.26129,1.164958,-0.747031,2180.740643,51.096942,7:45,5.669,1.86069,6.15233,-58.83728,-11.11764,-15.89713,1.86281,-0.16735,70.97429,-9.485733,-3.56729,0.497187,,,,,,,,,,,,7.64685,-5.40244,-1.77819,50,5.73272,2.13224,-113.42998,0.1849,9.76323,24.62266,-39.0717,LI,LAN,CenterIslip,Independent,ATL,20250619-CenterIslip-1,18dd0d50-4d5e-11f0-9c43-1b18c11ab0c1,75.81134,,,7.287,,,,,,,d3aa6cb9-7917-4189-aed1-6e012dfca233,2025-06-19,22:38:17.53,2025-06-19T18:38:17.5326720-04:00,2025-06-19T22:38:17.5326720Z,,v3,1896,1889,,"Baldwin, Roldani",650380,Right,LI,97f4ea26-b539-40e0-8072-bc42935f7fbf,55.34757,-114.58492,12.31133,5.68107,2.01757,-19.53585,-1.86746,1.67429,4.88162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-06-19,18:38:53.94,3,4,"Beede, Tyler",595881,Right,LI,"Martin, Mason",676733,Left,LAN,Undefined,1,Top,2,1,2,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.73739,-1.769897,-2.852829,1786.089603,263.349335,2:45,5.66958,1.99049,6.66972,-37.97081,3.73886,19.42556,0.85261,0.94724,75.23844,-8.750874,0.623371,0.464825,,,,,,,,,,,,-10.79508,2.8728,-1.76209,50,5.4961,5.19367,-119.88626,-4.98672,-15.50835,25.96801,-28.04697,LI,LAN,CenterIslip,Independent,ATL,20250619-CenterIslip-1,2e877820-4d5e-11f0-9c43-1b18c11ab0c1,81.08948,,,7.49895,,,,,,,d3aa6cb9-7917-4189-aed1-6e012dfca233,2025-06-19,22:38:53.94,2025-06-19T18:38:53.9498496-04:00,2025-06-19T22:38:53.9498496Z,,v3,1896,1889,,"Baldwin, Roldani",650380,Right,LI,c54b9cea-2ca4-4d34-8b6f-39b497729f1e,54.82911,-120.92775,12.98401,5.67354,-3.86185,-14.02349,-1.98286,5.81566,-7.75417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
