PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-06-19,19:22:42.66,1,1,"Emanuel, Kent",592288,Left,HP,"Diaz, Eddy",677647,Right,STA_YAN,Undefined,1,Top,0,0,0,Undefined,Sinker,Undefined,Undefined,Undefined,Undefined,0,0,,89.2486,-0.31497,3.544156,2417.925868,96.147903,9:15,5.3535,-2.5583,6.14708,-32.06616,3.03303,-16.97871,2.38972,-0.69408,80.97909,-6.28636,0.485922,0.426403,,,,,,,,,,,,9.80241,2.0461,2.29651,50,5.31328,-7.30477,-129.41329,-1.80001,16.46772,29.37416,-28.73668,HP,STA_YAN,HighPoint,Independent,ATL,20250619-HighPoint-1,4e3f3940-4d64-11f0-ae6d-c78fdd422f6f,88.39637,,,8.26951,,,,,,,5032b677-7f1f-4dd2-a7d3-75a9f0420be2,2025-06-19,23:22:42.66,2025-06-19T19:22:42.6660000-04:00,2025-06-19T23:22:42.6660000Z,,v3,5431,586,,"Conley, Jack",663660,Right,HP,cc6168e0-d4d6-49e5-b953-ea9779962502,54.35169,-130.39729,14.68708,5.35746,-0.83737,-14.36834,2.55045,-7.85642,8.23386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-06-19,19:22:56.54,1,2,"Emanuel, Kent",592288,Left,HP,"Diaz, Eddy",677647,Right,STA_YAN,Undefined,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,82.64663,0.191348,3.729215,1840.252802,84.255281,8:45,5.20804,-2.56951,6.197,-40.50971,-0.01106,-12.69528,2.00926,-0.17991,75.83104,-7.304236,1.440961,0.458027,54.73334,-60.371092,-107.307983,,,,,1.70331,1.69668,-33.660854,0.029068,7.64642,0.29535,2.29495,50,5.20201,-7.34909,-119.95631,-0.87036,11.13715,23.28885,-31.74387,HP,STA_YAN,HighPoint,Independent,ATL,20250619-HighPoint-1,57074d10-4d64-11f0-ae6d-c78fdd422f6f,82.29297,2.03836,,6.81559,,,,1.76262,2.03836,0.16271,5032b677-7f1f-4dd2-a7d3-75a9f0420be2,2025-06-19,23:22:56.54,2025-06-19T19:22:56.5440000-04:00,2025-06-19T23:22:56.5440000Z,GroundBall,v3,5431,586,,"Conley, Jack",663660,Right,HP,55a4d071-942d-4cd1-a528-e18dc59d26dd,54.30434,-120.78908,11.64442,5.21284,0.26475,-15.87194,2.56487,-7.74733,5.56857,,1.7629,-11.86562,,,,,,,,2.03998,-70.12504,,,,,,,,0.16359,-38.07744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
3,2025-06-19,18:56:05.77,1,3,"Emanuel, Kent",592288,Left,HP,"Diaz, Eddy",677647,Right,STA_YAN,Undefined,1,Top,0,0,0,Sinker,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,87.71131,-1.660563,3.250434,2166.429925,82.079632,8:45,6.08222,-3.07981,5.34352,-38.21431,-1.2141,-16.7467,1.33704,-1.42299,80.94621,-8.586048,0.273142,0.437798,,,,,,,,,,,,9.27351,0.17437,2.79896,50,5.90476,-6.48742,-127.21425,-5.16394,15.26392,25.01911,-31.88706,HP,STA_YAN,HighPoint,Independent,ATL,20250619-HighPoint-1,97a50960-4d60-11f0-a3d1-d9860d3a656d,86.09553,,,6.7651,,,,,,,5032b677-7f1f-4dd2-a7d3-75a9f0420be2,2025-06-19,22:56:05.77,2025-06-19T18:56:05.7750000-04:00,2025-06-19T22:56:05.7750000Z,,v3,5431,586,,"Conley, Jack",663660,Right,HP,b99d0800-60dd-4342-8095-2e812ea428a6,55.15817,-128.22469,12.50955,6.08731,-3.87613,-15.94353,3.07342,-7.10388,7.63196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-06-19,18:56:20.29,1,4,"Emanuel, Kent",592288,Left,HP,"Diaz, Eddy",677647,Right,STA_YAN,Undefined,1,Top,0,0,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.15487,-0.361457,3.760755,1865.599725,89.451685,9:00,5.8856,-2.9257,4.8318,-42.77845,1.16913,-13.42465,1.97769,-0.47789,75.01754,-8.057241,1.400938,0.477133,,,,,,,,,,,,7.57933,1.05693,2.56483,50,5.81276,-7.15405,-117.62239,-2.35983,10.70586,20.58546,-30.68114,HP,STA_YAN,HighPoint,Independent,ATL,20250619-HighPoint-1,9e3e0830-4d60-11f0-a3d1-d9860d3a656d,78.99784,,,6.13733,,,,,,,5032b677-7f1f-4dd2-a7d3-75a9f0420be2,2025-06-19,22:56:20.29,2025-06-19T18:56:20.2930000-04:00,2025-06-19T22:56:20.2930000Z,,v3,5431,586,,"Conley, Jack",663660,Right,HP,a8f56cef-10e4-4e95-9b2d-02812cd56185,55.66942,-118.61046,10.29273,5.89069,-0.88718,-15.34057,2.92055,-7.66791,5.35293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-06-19,18:56:33.68,1,5,"Emanuel, Kent",592288,Left,HP,"Diaz, Eddy",677647,Right,STA_YAN,Undefined,1,Top,0,0,2,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.08355,-1.801363,4.266654,1839.953711,95.795626,9:15,5.78625,-3.08781,4.96692,-40.23368,2.83106,-14.54961,0.72653,-0.26239,75.61135,-9.054984,1.703368,0.472316,,,,,,,,,,,,8.43367,2.24382,2.68726,50,5.57828,-8.24995,-118.79913,-5.23527,12.07767,22.31593,-28.96073,HP,STA_YAN,HighPoint,Independent,ATL,20250619-HighPoint-1,a5ece3d0-4d60-11f0-a3d1-d9860d3a656d,79.80349,,,6.4722,,,,,,,5032b677-7f1f-4dd2-a7d3-75a9f0420be2,2025-06-19,22:56:33.68,2025-06-19T18:56:33.6810000-04:00,2025-06-19T22:56:33.6810000Z,,v3,5431,586,,"Conley, Jack",663660,Right,HP,d756dcec-2b91-414b-b0b5-cba732c732a9,55.53461,-119.83427,11.15796,5.78997,-3.8919,-14.48036,3.08294,-8.81018,6.03884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-06-19,18:56:50.74,1,6,"Emanuel, Kent",592288,Left,HP,"Diaz, Eddy",677647,Right,STA_YAN,Undefined,1,Top,0,0,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.96199,-0.025502,1.745018,1830.743694,70.544582,8:15,5.72258,-3.0899,5.01205,-48.50377,-4.27083,-16.15843,1.65652,-2.7889,74.1857,-8.783825,-1.114118,0.478679,,,,,,,,,,,,8.49701,-1.65429,2.93609,50,5.68092,-2.88559,-117.43881,-1.87147,11.80886,23.25244,-34.47311,HP,STA_YAN,HighPoint,Independent,ATL,20250619-HighPoint-1,b0259ea0-4d60-11f0-a3d1-d9860d3a656d,78.74262,,,6.77629,,,,,,,5032b677-7f1f-4dd2-a7d3-75a9f0420be2,2025-06-19,22:56:50.74,2025-06-19T18:56:50.7460000-04:00,2025-06-19T22:56:50.7460000Z,,v3,5431,586,,"Conley, Jack",663660,Right,HP,90716697-6f4c-42b8-8201-a9d59d618fb9,55.48871,-118.52057,11.62622,5.73068,-0.2677,-17.23655,3.08311,-3.43497,5.90443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-06-19,18:57:04.25,1,7,"Emanuel, Kent",592288,Left,HP,"Diaz, Eddy",677647,Right,STA_YAN,Undefined,1,Top,0,1,2,Sweeper,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,75.73412,0.971126,2.328406,2619.951868,281.699504,3:30,5.81009,-3.18826,4.99942,-52.0055,-1.67886,15.3393,2.39395,0.2894,69.96537,-8.400661,5.033155,0.510588,52.56213,-43.205105,17.145215,,,,,6.44902,6.31462,7.572436,0.04989,-7.06134,-0.76134,2.95097,50,5.8608,-5.05764,-109.8847,0.08135,-8.64095,19.3199,-33.1057,HP,STA_YAN,HighPoint,Independent,ATL,20250619-HighPoint-1,b82420e0-4d60-11f0-a3d1-d9860d3a656d,73.82165,2.65134,,5.76875,,,,3.69534,2.65134,0.01768,5032b677-7f1f-4dd2-a7d3-75a9f0420be2,2025-06-19,22:57:04.25,2025-06-19T18:57:04.2510000-04:00,2025-06-19T22:57:04.2510000Z,GroundBall,v3,5431,586,,"Conley, Jack",663660,Right,HP,4a5966b7-4863-4d8b-8d12-ac99f9091031,55.50328,-110.84807,9.65995,5.81559,1.73212,-16.55285,3.19242,-4.62677,-4.32048,180,3.69234,54.06806,,,,,,,,2.65428,-53.14403,,,,,,,,0.01675,16.68022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2025-06-19,18:57:51.38,2,1,"Emanuel, Kent",592288,Left,HP,"Fontana, Shayne",687833,Left,STA_YAN,Undefined,1,Top,1,0,0,Sinker,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.56941,-0.296035,3.819647,2209.571571,94.234341,9:15,6.12949,-2.77527,5.41527,-33.75529,2.68752,-20.23166,3.03861,-0.87765,80.80929,-6.480562,0.226044,0.434488,,,,,,,,,,,,11.18666,1.82323,2.44959,50,6.07978,-7.6502,-128.33324,-1.94568,18.61543,27.09758,-29.14007,HP,STA_YAN,HighPoint,Independent,ATL,20250619-HighPoint-1,d427c260-4d60-11f0-a3d1-d9860d3a656d,86.75144,,,7.76012,,,,,,,5032b677-7f1f-4dd2-a7d3-75a9f0420be2,2025-06-19,22:57:51.38,2025-06-19T18:57:51.3860000-04:00,2025-06-19T22:57:51.3860000Z,,v3,5431,586,,"Conley, Jack",663660,Right,HP,0a562258-4d41-4a0f-9fc1-02b10876b123,55.08451,-129.40238,13.54879,6.13386,-0.79594,-14.57003,2.76593,-8.38468,9.30772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,,,2,2,"Emanuel, Kent",592288,Left,HP,"Fontana, Shayne",687833,Left,STA_YAN,Undefined,1,Top,1,0,1,Sweeper,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HP,STA_YAN,HighPoint,Independent,ATL,20250619-HighPoint-1,e2e234c0-4d60-11f0-a3d1-d9860d3a656d,,,,,,,,,,,5032b677-7f1f-4dd2-a7d3-75a9f0420be2,,,,,,v3,5431,586,,"Conley, Jack",663660,Right,HP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,2,3,"Emanuel, Kent",592288,Left,HP,"Fontana, Shayne",687833,Left,STA_YAN,Undefined,1,Top,1,0,2,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HP,STA_YAN,HighPoint,Independent,ATL,20250619-HighPoint-1,e71de2a0-4d60-11f0-a3d1-d9860d3a656d,,,,,,,,,,,5032b677-7f1f-4dd2-a7d3-75a9f0420be2,,,,,,v3,5431,586,,"Conley, Jack",663660,Right,HP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
