PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-06-19,19:36:41.17,1,1,"Ramirez, JC",500724,Right,YOR,"Martinez, Roidel",1000432526,Left,HAG_FLY,Undefined,1,Top,0,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.55566,-3.623601,-2.622476,2299.569284,201.439208,12:45,6.13357,1.05166,5.84006,-22.69596,11.52414,4.10362,0.86641,-1.04542,83.27136,-7.827602,-1.887,0.421029,,,,,,,,,,,,-2.82087,7.21071,-0.84033,50,5.82431,5.83622,-131.2114,-9.08112,-4.92806,27.21902,-19.57698,YOR,HAG_FLY,WellSpanPark,Independent,ATL,20250619-WellSpanPark-1,3f7e4c50-4d66-11f0-8b0e-5d93459d85cf,89.52457,,,7.2843,,,,,,,d16b3c22-81db-4a0e-9d46-be0f1405181d,2025-06-19,23:36:41.17,2025-06-19T19:36:41.1732992-04:00,2025-06-19T23:36:41.1732992Z,,v3,5435,6089,,"Simoneit, Will",686766,Right,YOR,b5950ce7-efed-42f3-a71c-cd84ee39c34e,54.66023,-132.1746,13.60951,6.13341,-8.38835,-9.78849,-1.04995,6.01061,-2.46403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-06-19,19:36:53.55,1,2,"Ramirez, JC",500724,Right,YOR,"Martinez, Roidel",1000432526,Left,HAG_FLY,Undefined,1,Top,0,1,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.38013,-1.222296,-1.231872,2318.42241,197.544774,12:30,6.11181,1.10436,5.84917,-22.33611,12.40599,3.60197,3.11422,0.25964,82.40761,-5.385555,-0.5858,0.424228,,,,,,,,,,,,-2.15126,6.97331,-1.00628,50,5.99925,2.64045,-129.8983,-3.50868,-3.70678,25.05524,-20.15853,YOR,HAG_FLY,WellSpanPark,Independent,ATL,20250619-WellSpanPark-1,46e52270-4d66-11f0-8b0e-5d93459d85cf,88.84943,,,6.97252,,,,,,,d16b3c22-81db-4a0e-9d46-be0f1405181d,2025-06-19,23:36:53.55,2025-06-19T19:36:53.5535616-04:00,2025-06-19T23:36:53.5535616Z,,v3,5435,6089,,"Simoneit, Will",686766,Right,YOR,e10a1894-52a3-4da7-8881-1c4f959c3dfa,54.65055,-130.79224,12.52762,6.1116,-2.78945,-10.07926,-1.10285,2.7727,-1.85339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-06-19,19:37:06.82,1,3,"Ramirez, JC",500724,Right,YOR,"Martinez, Roidel",1000432526,Left,HAG_FLY,Undefined,1,Top,0,1,1,Undefined,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,79.87719,0.298958,-1.036564,2418.56266,42.962766,7:30,6.29729,0.93281,5.00356,-52.0894,-6.99918,-7.76296,2.23877,-0.69273,73.87121,-9.066641,-2.410039,0.483295,,,,,,,,,,,,3.59618,-3.21689,-0.82655,50,6.28317,2.41779,-116.01059,-1.31703,4.91397,21.16095,-36.56972,YOR,HAG_FLY,WellSpanPark,Independent,ATL,20250619-WellSpanPark-1,4ed21880-4d66-11f0-8b0e-5d93459d85cf,77.9905,,,6.00598,,,,,,,d16b3c22-81db-4a0e-9d46-be0f1405181d,2025-06-19,23:37:06.82,2025-06-19T19:37:06.8204032-04:00,2025-06-19T23:37:06.8204032Z,,v3,5435,6089,,"Simoneit, Will",686766,Right,YOR,073a1698-22d6-498a-b380-2a3d7f16c7db,55.4998,-117.00949,10.58048,6.3046,0.40922,-18.28486,-0.9352,2.18583,2.45698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-06-19,19:37:27.26,1,4,"Ramirez, JC",500724,Right,YOR,"Martinez, Roidel",1000432526,Left,HAG_FLY,Undefined,1,Top,0,1,2,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.00453,-1.334552,0.318436,2432.737752,72.785699,8:30,6.34116,0.86399,5.1082,-45.28857,-1.05421,-8.24516,1.30948,0.47692,74.06953,-9.528531,-1.144605,0.478686,,,,,,,,,,,,4.21071,0.31035,-0.88724,50,6.18,-0.3073,-117.4474,-4.38746,5.82344,24.28994,-31.7448,YOR,HAG_FLY,WellSpanPark,Independent,ATL,20250619-WellSpanPark-1,5b023680-4d66-11f0-8b0e-5d93459d85cf,78.74139,,,6.93499,,,,,,,d16b3c22-81db-4a0e-9d46-be0f1405181d,2025-06-19,23:37:27.26,2025-06-19T19:37:27.2641536-04:00,2025-06-19T23:37:27.2641536Z,,v3,5435,6089,,"Simoneit, Will",686766,Right,YOR,51af6620-38a4-4836-8d5a-347eeda3483c,55.3918,-118.55726,12.14497,6.34733,-2.93697,-15.8724,-0.86712,-0.57339,2.91172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-06-19,19:37:45.27,1,5,"Ramirez, JC",500724,Right,YOR,"Martinez, Roidel",1000432526,Left,HAG_FLY,Undefined,1,Top,0,2,2,Undefined,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,91.90099,-2.459154,-2.183476,2262.815275,230.422064,1:45,6.13145,1.11928,5.59858,-20.00348,13.8893,15.33934,2.1655,0.35803,83.14507,-6.214813,0.554516,0.419011,94.55351,-21.013699,3.217358,,,,,7.11199,3.01825,-0.275094,0.04331,-8.48048,8.15819,-0.94246,50,5.9078,4.38474,-133.12403,-6.39818,-15.03248,31.83953,-17.71288,YOR,HAG_FLY,WellSpanPark,Independent,ATL,20250619-WellSpanPark-1,65afac20-4d66-11f0-8b0e-5d93459d85cf,89.95582,2.15729,,8.75592,,,,1.50485,2.15729,-0.34933,d16b3c22-81db-4a0e-9d46-be0f1405181d,2025-06-19,23:37:45.27,2025-06-19T19:37:45.2729856-04:00,2025-06-19T23:37:45.2729856Z,GroundBall,v3,5435,6089,,"Simoneit, Will",686766,Right,YOR,d5a3e636-5a29-4793-bf24-92a9e76f9075,54.90067,-134.29101,15.91976,6.13041,-5.74897,-8.85644,-1.11326,4.93571,-7.51624,,1.50337,129.46404,,,,,,,,2.15786,-49.81062,,,,,,,,-0.34942,7.27751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
6,2025-06-19,19:38:23.25,2,1,"Ramirez, JC",500724,Right,YOR,"Leach, Dante",699793,Right,HAG_FLY,Undefined,1,Top,0,0,0,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.84304,-1.692491,-2.17081,2243.694303,230.334981,1:45,6.05324,1.15148,5.87039,-25.51962,9.29953,9.82741,2.35291,-0.04695,81.94294,-6.444144,-0.407448,0.424698,,,,,,,,,,,,-5.65339,5.59863,-0.98138,50,5.90138,4.51936,-130.34015,-4.71903,-9.68013,28.58491,-22.58771,YOR,HAG_FLY,WellSpanPark,Independent,ATL,20250619-WellSpanPark-1,7c589b30-4d66-11f0-8b0e-5d93459d85cf,88.75111,,,7.90009,,,,,,,d16b3c22-81db-4a0e-9d46-be0f1405181d,2025-06-19,23:38:23.25,2025-06-19T19:38:23.2537600-04:00,2025-06-19T23:38:23.2537600Z,,v3,5435,6089,,"Simoneit, Will",686766,Right,YOR,46908f5f-39f3-46ae-b948-64cf6188b899,54.62864,-131.35133,14.29245,6.05419,-3.92,-11.29386,-1.14731,4.86179,-4.84007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-06-19,19:38:42.01,2,2,"Ramirez, JC",500724,Right,YOR,"Leach, Dante",699793,Right,HAG_FLY,Undefined,1,Top,0,0,1,Undefined,Cutter,InPlay,Undefined,LineDrive,Out,2,0,,88.50533,-1.282239,-1.15271,2254.082157,188.484321,12:15,6.00605,1.13642,5.82149,-23.57096,12.50749,1.68036,2.84923,0.2046,80.2929,-5.703787,-0.851435,0.43231,102.61092,5.172748,35.154183,3065.079917,,,,111.7564,87.23531,37.91725,0.844995,-1.2178,7.14709,-1.04316,50,5.88732,2.51349,-128.41458,-3.63918,-2.01272,29.13029,-20.36175,YOR,HAG_FLY,WellSpanPark,Independent,ATL,20250619-WellSpanPark-1,87881210-4d66-11f0-8b0e-5d93459d85cf,87.18847,4.95957,,8.21243,,,,2.05046,2.82782,-0.24025,d16b3c22-81db-4a0e-9d46-be0f1405181d,2025-06-19,23:38:42.01,2025-06-19T19:38:42.0163072-04:00,2025-06-19T23:38:42.0163072Z,GroundBall,v3,5435,6089,,"Simoneit, Will",686766,Right,YOR,4d91afcd-5df4-4017-b441-a4f8f4249ce6,54.67752,-129.47131,14.56514,6.00594,-2.90053,-10.18088,-1.13566,2.58651,-1.00636,282.591916,2.18638,120.33158,-22.16029,,,,,,,2.90224,12.35627,-18.78105,,,,,,,-0.24461,86.38492,-5.70181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2025-06-19,19:39:15.95,3,1,"Ramirez, JC",500724,Right,YOR,"Arbolida, Cary",812364,Right,HAG_FLY,Undefined,1,Top,2,0,0,Undefined,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.93757,-0.897988,-1.830484,2388.383831,181.638014,12:00,6.13209,1.05911,5.93149,-20.70887,13.42068,0.34949,3.5727,-0.61069,82.19825,-4.814603,-1.76775,0.420472,,,,,,,,,,,,-0.75004,7.50319,-0.91304,50,6.04873,4.19892,-131.86827,-2.72392,-1.30499,31.16014,-19.11952,YOR,HAG_FLY,WellSpanPark,Independent,ATL,20250619-WellSpanPark-1,9bbeefb0-4d66-11f0-8b0e-5d93459d85cf,89.64326,,,8.73933,,,,,,,d16b3c22-81db-4a0e-9d46-be0f1405181d,2025-06-19,23:39:15.95,2025-06-19T19:39:15.9570944-04:00,2025-06-19T23:39:15.9570944Z,,v3,5435,6089,,"Simoneit, Will",686766,Right,YOR,f43b2be5-9607-4cdb-a180-9c1422aceb79,54.56468,-132.94251,15.58007,6.13127,-2.06477,-9.55976,-1.05858,4.24391,-0.65249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-06-19,19:39:29.01,3,2,"Ramirez, JC",500724,Right,YOR,"Arbolida, Cary",812364,Right,HAG_FLY,Undefined,1,Top,2,0,1,Undefined,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,91.53077,-2.260284,-1.81037,2356.99916,219.152721,1:15,6.04534,1.1075,6.05313,-22.60694,10.7165,7.8276,2.06698,0.08341,83.49071,-6.494362,-0.400703,0.415477,102.3837,8.726622,0.918261,1164.522298,109.84117,11.32103,5.90749,205.65967,204.54702,5.065596,1.724764,-4.5878,6.5141,-0.97096,50,5.8573,3.87126,-132.82524,-5.98386,-8.15201,29.87778,-20.59922,YOR,HAG_FLY,WellSpanPark,Independent,ATL,20250619-WellSpanPark-1,a386f8a0-4d66-11f0-8b0e-5d93459d85cf,90.72099,11.31894,,8.04007,,,,1.30078,2.19536,-0.05282,d16b3c22-81db-4a0e-9d46-be0f1405181d,2025-06-19,23:39:29.01,2025-06-19T19:39:29.0103808-04:00,2025-06-19T23:39:29.0103808Z,LineDrive,v3,5435,6089,,"Simoneit, Will",686766,Right,YOR,42329be5-0446-4091-840e-deb92ef1eee5,54.44695,-133.8218,14.93889,6.04543,-5.29678,-10.29961,-1.10462,4.14317,-4.076,234.275614,1.30078,148.40508,-24.86566,5.81486,-1.29055,0.28395,-0.05897,0.00944,-0.00079,2.19536,22.78268,-14.35603,0.07796,0.17639,-0.07616,0.02147,-0.00385,0.00035,-0.05282,2.37866,7.31849,-2.19912,0.59087,-0.14873,0.03341,-0.00562,0.00049,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2025-06-19,19:40:05.29,4,1,"Ramirez, JC",500724,Right,YOR,"Abreu, Osvaldo",622435,Right,HAG_FLY,Undefined,1,Top,2,0,0,Undefined,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,90.89705,-1.330374,-2.288102,2333.701216,209.784866,1:00,6.12331,1.03648,5.86971,-22.75462,11.13623,5.75563,2.99011,-0.61041,83.10077,-5.581189,-1.256129,0.418999,93.6649,51.110174,11.820737,4033.887871,107.21289,126.52974,24.60474,288.3116,135.63924,14.495076,6.30254,-3.60642,6.39815,-0.8546,50,6.00231,5.0275,-131.93801,-3.82896,-6.34921,28.39383,-20.90988,YOR,HAG_FLY,WellSpanPark,Independent,ATL,20250619-WellSpanPark-1,b9268e00-4d66-11f0-8b0e-5d93459d85cf,89.95837,152.80062,,7.79628,,,,2.83437,4.53573,0.09345,d16b3c22-81db-4a0e-9d46-be0f1405181d,2025-06-19,23:40:05.29,2025-06-19T19:40:05.2998144-04:00,2025-06-19T23:40:05.2998144Z,FlyBall,v3,5435,6089,,"Simoneit, Will",686766,Right,YOR,aada0fa9-81de-455b-b8e1-744d3a4cfbcb,54.63055,-132.9308,14.19692,6.12341,-3.09785,-10.45494,-1.03427,5.2495,-3.1746,184.853239,2.84654,84.2208,-19.58161,4.67331,-0.69075,0.04885,0.0009,-0.00029,1E-05,4.53303,106.94293,-23.65063,2.09136,-0.1147,-0.08601,0.02888,-0.00376,0.00018,0.09572,17.63202,-2.58786,0.48486,-0.03205,-0.00789,0.00194,-0.00014,0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
