gameid,date,start_time,duration,end_time
624108,05/20/2025,06:50 PM,2:57,09:47 PM
624109,05/21/2025,06:49 PM,1:44,08:33 PM
624110,05/22/2025,11:07 AM,3:00,02:07 PM
624360,05/20/2025,06:37 PM,2:40,09:17 PM
624361,05/21/2025,10:35 AM,2:38,01:13 PM
624426,05/20/2025,07:32 PM,3:01,10:33 PM
624427,05/21/2025,06:40 PM,2:55,09:35 PM
624489,05/20/2025,06:34 PM,3:09,09:43 PM
624675,05/20/2025,06:32 PM,2:30,09:02 PM
624676,05/21/2025,12:32 PM,2:25,02:57 PM
624677,05/21/2025,03:35 PM,2:34,06:09 PM
624171,05/14/2025,10:40 AM,1:44,12:24 PM
624172,05/14/2025,01:06 PM,2:26,03:32 PM
624173,05/15/2025,06:37 PM,2:51,09:28 PM
624297,05/13/2025,06:33 PM,3:06,09:39 PM
624298,05/14/2025,06:34 PM,3:06,09:40 PM
624299,05/15/2025,06:36 PM,2:27,09:03 PM
624420,05/13/2025,06:38 PM,2:45,09:23 PM
624421,05/14/2025,06:41 PM,2:46,09:31 PM
624422,05/15/2025,06:40 PM,3:15,10:03 PM
624547,05/14/2025,02:20 PM,2:41,05:01 PM
624548,05/15/2025,06:39 PM,3:43,10:23 PM
624612,05/13/2025,06:47 PM,2:26,09:13 PM
624613,05/14/2025,10:31 AM,2:42,01:13 PM
624614,05/15/2025,06:50 PM,3:14,10:04 PM
628819,05/14/2025,11:05 AM,2:31,01:36 PM
624099,05/02/2025,06:50 PM,2:58,09:48 PM
624100,05/03/2025,06:49 PM,2:05,10:02 PM
624101,05/04/2025,02:03 PM,2:54,05:19 PM
624102,05/06/2025,06:48 PM,2:26,09:14 PM
624103,05/07/2025,06:49 PM,2:34,09:23 PM
624162,04/25/2025,06:40 PM,2:47,09:27 PM
624163,04/26/2025,07:54 PM,3:29,11:21 PM
624164,04/27/2025,02:06 PM,3:31,05:37 PM
624165,04/29/2025,06:39 PM,2:51,09:30 PM
624166,04/30/2025,06:37 PM,3:14,09:51 PM
624167,05/01/2025,10:39 AM,2:18,12:57 PM
624168,05/09/2025,06:37 PM,3:11,09:48 PM
624169,05/10/2025,06:39 PM,2:58,09:37 PM
624170,05/11/2025,02:09 PM,2:45,04:54 PM
624225,05/02/2025,06:41 PM,2:54,09:35 PM
624227,05/04/2025,06:01 PM,1:43,07:44 PM
624228,05/06/2025,11:08 AM,3:09,02:25 PM
624229,05/07/2025,06:38 PM,3:11,09:49 PM
624230,05/08/2025,06:39 PM,3:35,10:14 PM
624288,04/25/2025,06:40 PM,2:44,09:24 PM
624289,04/26/2025,06:34 PM,2:56,10:08 PM
624290,04/27/2025,01:36 PM,2:40,04:16 PM
624291,04/29/2025,06:34 PM,3:26,10:00 PM
624292,04/30/2025,06:33 PM,2:45,09:18 PM
624293,05/01/2025,06:34 PM,3:01,09:35 PM
624294,05/09/2025,07:20 PM,2:32,09:52 PM
624295,05/10/2025,06:35 PM,2:01,08:36 PM
624296,05/11/2025,01:34 PM,2:36,04:10 PM
624351,05/02/2025,07:01 PM,2:54,09:55 PM
624352,05/03/2025,03:31 PM,2:02,05:33 PM
624353,05/03/2025,06:22 PM,2:29,08:51 PM
624354,05/07/2025,04:04 PM,2:18,06:22 PM
624355,05/07/2025,07:07 PM,1:45,08:52 PM
624356,05/08/2025,10:34 AM,2:34,01:08 PM
624414,05/02/2025,06:53 PM,4:36,11:29 PM
624415,05/03/2025,06:40 PM,1:38,05:22 PM
624416,05/04/2025,05:54 PM,2:08,08:02 PM
624417,05/06/2025,06:37 PM,2:22,09:08 PM
624418,05/07/2025,10:39 AM,2:53,01:12 PM
624419,05/08/2025,07:39 PM,2:49,10:28 PM
624477,04/29/2025,06:48 PM,3:12,10:47 PM
624478,04/30/2025,06:34 PM,2:57,09:32 PM
624479,05/01/2025,06:33 PM,3:28,05:33 PM
624480,05/02/2025,06:32 PM,2:59,09:31 PM
624482,05/04/2025,04:13 PM,2:54,07:07 PM
624483,05/07/2025,05:05 PM,2:14,10:12 AM
624484,05/07/2025,08:01 PM,2:28,02:19 PM
624485,05/08/2025,11:03 AM,3:09,02:12 PM
624540,04/25/2025,06:36 PM,4:01,10:37 PM
624541,04/26/2025,06:03 PM,3:10,09:13 PM
624542,04/27/2025,02:04 PM,3:08,05:12 PM
624544,05/10/2025,06:06 PM,3:00,09:06 PM
