#,Date,Away,Home,Result,W. Pitcher,L. Pitcher,Boxscore,AwayGameNo,HomeGameNo,away_prob,home_prob
1.0,Apr 256:36 PM,Staten Island,Hagerstown,6-1,"Dunaway, M","Richardson, D",final|,1,1,0.008,0.0
1.0,May  26:41 PM,Lexington,High Point,6-5,"Wicklander, P","Edwards, J",final|,1,1,0.0026,0.9938
1.0,May  27:01 PM,Hagerstown,Staten Island,2-4,"McSweeney, M","Martinez, J",final|,1,1,0.0,0.008
1.0,Apr 296:48 PM,Lancaster,York,4-9,"Galdoni, L","Killgore, K",final|,1,1,0.005,0.825
1.0,May  26:50 PM,Gastonia,Lancaster,5-6,"Gilliam, R","Wells, N",final|,1,1,0.0,0.005
1.0,May  26:53 PM,S Maryland,Charleston,7-5,"Kahaloa, I","Lusk, L",final|,1,1,,0.0036
1.0,Apr 256:40 PM,High Point,S Maryland,6-4,"Edwards, J","Miller, J",final|,1,1,0.9938,
1.0,Apr 256:40 PM,Lancaster,Long Island,9-1,"Skirrow, N","Gant, J",final|,2,1,0.005,0.162
1.0,Apr 257:03 PM,Charleston,Lexington,1-2,"Laio, N","McGowin, K",final|,1,1,0.0036,0.0026
1.0,Apr 257:00 PM,York,Gastonia,,,,Gastonia,1,1,0.825,0.0
2.0,Apr 266:34 PM,Lancaster,Long Island,5-13,"Plesac, Z","Swarmer, M",final|,3,2,0.005,0.162
2.0,Apr 267:02 PM,York,Gastonia,10-9,"Robinson, C","Myatt, T",final|,2,2,0.825,0.0
2.0,Apr 267:05 PM,Charleston,Lexington,5-9,"Wicklander, P","Sampson, K",final|,2,2,0.0036,0.0026
2.0,Apr 267:54 PM,High Point,S Maryland,14-4,"Scolaro, J","Kahaloa, I",final|,2,2,0.9938,
2.0,May  33:31 PM,Hagerstown,Staten Island,5-12,"Oxford, B","Corcino, D",final|,2,2,0.0,0.008
2.0,May  36:35 PM,Lexington,High Point,,,,Cancelled,2,2,0.0026,0.9938
2.0,May  36:40 PM,S Maryland,Charleston,2-4,"Sampson, K","Hennessey, J",final|,2,2,,0.0036
2.0,Apr 306:34 PM,Lancaster,York,7-8,"Robinson, C","Diehl, P",final|,4,2,0.005,0.825
2.0,Apr 266:03 PM,Staten Island,Hagerstown,13-3,"Oxford, B","Martinez, J",final|,2,2,0.008,0.0
2.0,May  36:49 PM,Gastonia,Lancaster,6-3,"Sheffield, J","Garbrick, A",final|,2,2,0.0,0.005
3.0,May  16:33 PM,Lancaster,York,10-6,"Rees, J","Veen, Z",final|,5,3,0.005,0.825
3.0,May  36:22 PM,Hagerstown,Staten Island,6-8,"Andrews, T","Saturria, M",final|,3,3,0.0,0.008
3.0,May  46:01 PM,Lexington,High Point,1-3,"Frisbee, M","Tully, T",final|,3,3,0.0026,0.9938
3.0,May  45:54 PM,S Maryland,Charleston,7-2,"Campbell, M","Reyes, S",final|,3,3,,0.0036
3.0,Apr 274:01 PM,York,Gastonia,11-3,"Pace, F","Grey, C",final|,3,3,0.825,0.0
3.0,Apr 272:06 PM,High Point,S Maryland,17-10,"Backman, B","Thurman, A",final|,3,3,0.9938,
3.0,Apr 272:06 PM,Charleston,Lexington,3-17,"Eastman, C","Endersby, J",final|,3,3,0.0036,0.0026
3.0,Apr 272:04 PM,Staten Island,Hagerstown,5-8,"Corcino, D","Sigman, J",final|,3,3,0.008,0.0
3.0,Apr 271:36 PM,Lancaster,Long Island,3-2,"Engler, S","Washington, M",final|,6,3,0.005,0.162
3.0,May  42:03 PM,Gastonia,Lancaster,8-7,"Horvath, N","Diehl, P",final|,3,3,0.0,0.005
4.0,May  66:37 PM,Lexington,Charleston,0-4,"Lebron, D","Castillo, W",final|,4,4,0.0026,0.0036
4.0,May  66:48 PM,S Maryland,Lancaster,7-4,"Vazquez, R","Brennan, T",final|,4,4,,0.005
4.0,May  96:30 PM,York,Hagerstown,,,,Hagerstown,4,4,0.825,0.0
4.0,May  74:04 PM,Long Island,Staten Island,10-9,"Griffin, D","Capuano, C",final|,1,4,0.162,0.008
4.0,May  611:08 AM,Gastonia,High Point,14-8,"Myatt, T","Solter, M",final|,4,4,0.0,0.9938
4.0,May  26:32 PM,Long Island,York,10-2,"Gant, J","Pace, F",final|,2,4,0.162,0.825
4.0,Apr 2812:31 PM,High Point,Gastonia,3-0,"Solter, M","Smith, K",final|,4,4,0.9938,0.0
4.0,Apr 296:34 PM,Staten Island,Long Island,12-10,"Baker, R","Williams, P",final|,4,4,0.008,0.162
4.0,Apr 296:39 PM,Charleston,S Maryland,6-3,"Meza, C","Campbell, M",final|,4,4,0.0036,
4.0,Apr 298:36 PM,Hagerstown,Lexington,5-4,"Quintana, F","Tully, T",final|,4,4,0.0,0.0026
5.0,Apr 282:49 PM,High Point,Gastonia,7-4,"Frisbee, M","Scott, A",final|,5,5,0.9938,0.0
5.0,May  710:39 AM,Lexington,Charleston,4-3,"Laio, N","Hill, J",final|,5,5,0.0026,0.0036
5.0,May  77:07 PM,Long Island,Staten Island,2-3,"Mahoney, J","Tropeano, N",final|,3,5,0.162,0.008
5.0,May 106:06 PM,York,Hagerstown,11-2,"Scott, W","Corcino, D",final|,5,5,0.825,0.0
5.0,Apr 3010:32 AM,Hagerstown,Lexington,3-6,"Castillo, W","Picone, D",final|,5,5,0.0,0.0026
5.0,Apr 306:33 PM,Staten Island,Long Island,8-4,"Dunaway, M","Senger, M",final|,5,5,0.008,0.162
5.0,Apr 306:37 PM,Charleston,S Maryland,12-8,"Del Prado, N","Kelly, J",final|,5,5,0.0036,
5.0,May  36:30 PM,Long Island,York,,,,"Postponed to:May 04, 01:00 PM",4,5,0.162,0.825
5.0,May  76:49 PM,S Maryland,Lancaster,4-3,"Semple, S","Skirrow, N",final|,5,5,,0.005
5.0,May  76:38 PM,Gastonia,High Point,3-4,"Scolaro, J","Sheffield, J",final|,5,5,0.0,0.9938
6.0,May  810:34 AM,Long Island,Staten Island,3-1,"Flores, B","Higgins, C",final|,5,6,0.162,0.008
6.0,May  86:39 PM,Gastonia,High Point,3-6,"Barraclough, K","Wells, N",final|,6,6,0.0,0.9938
6.0,May  87:39 PM,Lexington,Charleston,2-1,"Wicklander, P","McGowin, K",final|,6,6,0.0026,0.0036
6.0,May  16:34 PM,Staten Island,Long Island,10-5,"Oxford, B","Alintoff, J",final|,6,6,0.008,0.162
6.0,May  44:13 PM,Long Island,York,10-9,"Washington, M","Scott, W",final|,6,6,0.162,0.825
6.0,May  110:39 AM,Charleston,S Maryland,1-3,"Semple, S","McGowin, K",final|,6,6,0.0036,
