gameid,inning,half,batting_team,defense_team,player,base,result,balls,strikes,outs
624177,1,bottom,Southern Maryland Blue Crabs,Gastonia Ghost Peppers,Ethan Wilson,2,SB,1,1,2
624177,1,bottom,Southern Maryland Blue Crabs,Gastonia Ghost Peppers,Ethan Wilson,3,CS,2,2,2
624177,4,top,Gastonia Ghost Peppers,Southern Maryland Blue Crabs,Narciso Crook,2,CS,3,0,0
624177,4,top,Gastonia Ghost Peppers,Southern Maryland Blue Crabs,Henderson Perez,2,CS,3,2,1
624177,5,bottom,Southern Maryland Blue Crabs,Gastonia Ghost Peppers,Ethan Wilson,2,SB,3,2,1
624177,6,bottom,Southern Maryland Blue Crabs,Gastonia Ghost Peppers,John Taylor,2,SB,1,1,2
624177,8,bottom,Southern Maryland Blue Crabs,Gastonia Ghost Peppers,Giovanni Digiacomo,2,SB,1,1,3
624179,2,bottom,Southern Maryland Blue Crabs,Gastonia Ghost Peppers,Jackson Loftin,2,SB,1,1,2
624179,2,bottom,Southern Maryland Blue Crabs,Gastonia Ghost Peppers,Brett Barrera,3,SB,1,1,2
624179,2,bottom,Southern Maryland Blue Crabs,Gastonia Ghost Peppers,Jackson Loftin,3,SB,1,1,3
624179,9,bottom,Southern Maryland Blue Crabs,Gastonia Ghost Peppers,Sam Dexter,2,CS,2,2,2
624181,1,top,Lexington Legends,Southern Maryland Blue Crabs,Pedro Gonzalez,3,SB,3,2,3
624181,2,bottom,Southern Maryland Blue Crabs,Lexington Legends,Jackson Loftin,2,CS,2,2,1
624181,3,top,Lexington Legends,Southern Maryland Blue Crabs,Dylan Rock,2,SB,2,1,2
624181,5,top,Lexington Legends,Southern Maryland Blue Crabs,Brady Whalen,2,CS,1,1,2
624181,6,top,Lexington Legends,Southern Maryland Blue Crabs,Dylan Rock,2,CS,1,2,0
624181,8,bottom,Southern Maryland Blue Crabs,Lexington Legends,Pearce Howard,2,SB,1,1,1
624182,2,top,Lexington Legends,Southern Maryland Blue Crabs,Ryan McCarthy,2,SB,3,2,3
