gameid,inning,half,batting_team,defense_team,player,base,result,balls,strikes,outs
624171,5,bottom,Southern Maryland Blue Crabs,York Revolution,Jackson Loftin,2,SB,1,0,2
624173,3,bottom,Southern Maryland Blue Crabs,York Revolution,Jackson Loftin,2,SB,2,1,3
624173,10,top,York Revolution,Southern Maryland Blue Crabs,Justin Connell,2,SB,0,2,3
624297,1,bottom,Long Island Ducks,Gastonia Ghost Peppers,Chris Roller,2,SB,3,2,2
624297,3,bottom,Long Island Ducks,Gastonia Ghost Peppers,Cody Thomas,2,SB,2,0,0
624297,3,bottom,Long Island Ducks,Gastonia Ghost Peppers,JC Encarnacion,3,SB,2,0,0
624297,6,bottom,Long Island Ducks,Gastonia Ghost Peppers,Taylor Kohlwey,2,SB,0,2,3
624297,7,top,Gastonia Ghost Peppers,Long Island Ducks,Eric De La Rosa,2,SB,2,2,2
624297,7,bottom,Long Island Ducks,Gastonia Ghost Peppers,Kole Kaler,2,SB,2,1,3
624298,1,bottom,Long Island Ducks,Gastonia Ghost Peppers,Chris Roller,2,SB,2,0,1
624298,1,bottom,Long Island Ducks,Gastonia Ghost Peppers,JC Encarnacion,2,SB,1,1,1
624298,1,bottom,Long Island Ducks,Gastonia Ghost Peppers,Cody Thomas,2,SB,1,2,3
624298,3,bottom,Long Island Ducks,Gastonia Ghost Peppers,Kole Kaler,2,SB,3,0,0
624298,3,bottom,Long Island Ducks,Gastonia Ghost Peppers,Kole Kaler,3,SB,3,1,0
624298,4,bottom,Long Island Ducks,Gastonia Ghost Peppers,Chris Roller,2,CS,1,2,1
624298,6,bottom,Long Island Ducks,Gastonia Ghost Peppers,Ronaldo Flores,2,SB,1,1,3
624298,7,bottom,Long Island Ducks,Gastonia Ghost Peppers,Troy Viola,2,CS,3,2,2
624299,4,top,Gastonia Ghost Peppers,Long Island Ducks,Dalton Guthrie,3,SB,1,0,1
624299,4,bottom,Long Island Ducks,Gastonia Ghost Peppers,Cody Thomas,2,SB,1,0,1
624299,4,bottom,Long Island Ducks,Gastonia Ghost Peppers,Taylor Kohlwey,2,CS,0,2,1
624299,4,bottom,Long Island Ducks,Gastonia Ghost Peppers,JC Encarnacion,2,CS,1,0,2
624299,5,bottom,Long Island Ducks,Gastonia Ghost Peppers,Ronaldo Flores,2,SB,3,2,1
624299,6,bottom,Long Island Ducks,Gastonia Ghost Peppers,Cody Thomas,2,SB,3,0,1
624299,8,top,Gastonia Ghost Peppers,Long Island Ducks,Richie Martin,2,SB,1,0,1
624420,6,bottom,Charleston Dirty Birds,Staten Island Ferry Hawks,Tyler Hill,3,SB,1,1,2
624421,4,bottom,Charleston Dirty Birds,Staten Island Ferry Hawks,Alsander Womack,2,SB,2,1,0
624421,4,bottom,Charleston Dirty Birds,Staten Island Ferry Hawks,Travis Demeritte,2,SB,2,0,1
624421,5,bottom,Charleston Dirty Birds,Staten Island Ferry Hawks,Alsander Womack,3,SB,1,2,2
624421,7,top,Staten Island Ferry Hawks,Charleston Dirty Birds,Damon Dues,2,SB,1,0,3
624421,8,top,Staten Island Ferry Hawks,Charleston Dirty Birds,Aaron Takacs,2,SB,1,1,3
624422,2,bottom,Charleston Dirty Birds,Staten Island Ferry Hawks,Alsander Womack,2,CS,1,2,2
624422,3,bottom,Charleston Dirty Birds,Staten Island Ferry Hawks,Demetrius Moorer,2,SB,2,1,2
624422,5,top,Staten Island Ferry Hawks,Charleston Dirty Birds,Brandon Martorano,2,SB,3,1,0
624422,6,top,Staten Island Ferry Hawks,Charleston Dirty Birds,Damon Dues,2,SB,1,1,0
624422,7,bottom,Charleston Dirty Birds,Staten Island Ferry Hawks,Joseph Rosa,2,SB,0,1,2
624547,3,top,Lancaster Stormers,Hagerstown Flying Boxcars,Daniel Amaral,2,SB,1,0,3
624547,3,bottom,Hagerstown Flying Boxcars,Lancaster Stormers,Gary Mattis,2,SB,1,1,0
624547,5,bottom,Hagerstown Flying Boxcars,Lancaster Stormers,Joe Campagna,2,SB,2,2,2
624547,7,bottom,Hagerstown Flying Boxcars,Lancaster Stormers,Patrick Chung,2,SB,2,2,2
624548,1,top,Lancaster Stormers,Hagerstown Flying Boxcars,Daniel Amaral,2,SB,1,1,0
624548,1,top,Lancaster Stormers,Hagerstown Flying Boxcars,Nick Ward,2,SB,1,2,2
624548,1,top,Lancaster Stormers,Hagerstown Flying Boxcars,Daniel Amaral,3,SB,1,2,2
624548,6,bottom,Hagerstown Flying Boxcars,Lancaster Stormers,Errol Robinson,2,SB,2,2,1
624548,7,top,Lancaster Stormers,Hagerstown Flying Boxcars,Joseph Carpenter,2,SB,3,2,2
