gameid,date,start_time,duration,end_time
624177,06/10/2025,06:37 PM,3:20,09:57 PM
624178,06/11/2025,06:36 PM,3:24,10:00 PM
624179,06/12/2025,06:40 PM,3:36,10:16 PM
624180,06/13/2025,06:45 PM,1:48,08:33 PM
624181,06/14/2025,06:38 PM,3:00,09:38 PM
624182,06/15/2025,02:05 PM,2:49,04:54 PM
624306,06/13/2025,06:34 PM,2:34,09:08 PM
624307,06/14/2025,06:36 PM,2:46,09:22 PM
624308,06/15/2025,01:37 PM,3:06,04:43 PM
624369,06/11/2025,04:02 PM,2:18,06:20 PM
624370,06/11/2025,07:10 PM,2:25,09:35 PM
624371,06/12/2025,06:35 PM,3:32,10:07 PM
624372,06/13/2025,07:02 PM,2:42,09:44 PM
624373,06/14/2025,06:43 PM,2:00,08:43 PM
624374,06/15/2025,01:47 PM,2:49,04:36 PM
624435,06/10/2025,06:39 PM,2:48,09:27 PM
624436,06/11/2025,12:09 PM,3:00,03:09 PM
624437,06/12/2025,06:41 PM,3:04,09:45 PM
624438,06/13/2025,06:40 PM,3:35,10:43 PM
624439,06/14/2025,06:55 PM,3:18,10:13 PM
624440,06/15/2025,03:06 PM,3:02,06:08 PM
624498,06/13/2025,06:34 PM,2:52,09:26 PM
624499,06/14/2025,06:35 PM,3:23,09:58 PM
624500,06/15/2025,01:05 PM,3:41,04:46 PM
624558,06/10/2025,06:35 PM,2:29,09:04 PM
624559,06/11/2025,06:33 PM,2:53,09:26 PM
624560,06/12/2025,06:34 PM,2:52,09:26 PM
624624,06/10/2025,06:48 PM,3:28,10:16 PM
624625,06/11/2025,06:46 PM,2:34,09:20 PM
624626,06/12/2025,06:46 PM,2:33,09:19 PM
